role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Archivist,45000,yr,2013,55000,yr,P,2019,8,,,MLIS
Manager,12.5,hr,2015,40000,yr,P,2019,5,female,white,BA
Archivist,20,hr,2017,22,hr,C,2018,,female,white,
Manager,52000,yr,2016,58000,yr,P,2018,,female,,
Coordinator,40000,yr,2017,40000,yr,P,2019,8,female,white,BA
Director,546000,yr,2019,,,P,2019,6,,,
Research,45000,yr,2016,50000,yr,P,2019,3,male,white,BA
Communications,38000,yr,2016,40000,yr,H,2019,3,male,white,BA
Manager,30000,yr,2018,30000,yr,P,2019,6,female,white,None required MA preferred
Manager,39000,yr,2016,41000,yr,P,2019,3,female,,MA
Archivist,32000,yr,2016,36000,yr,C,2019,4,,,MLIS
Assistant,20,hr,2018,20,hr,HC,2019,5,other,white,MA
Manager,45000,yr,2005,69808,yr,P,2019,26,female,mixed,MA
Conservator,12000,yr,1979,68000,yr,P,2009,40,female,white,BA
Conservator,34000,yr,2019,34000,yr,HP,2019,2,female,white,BA
Manager,35000,yr,2016,45000,yr,P,2019,4,,,
Assistant Director,,,,50000,yr,P,2019,9,female,latino,BA
Assistant,70000,yr,2019,70000,yr,P,2019,9,female,,
Director,125000,yr,2016,166000,yr,P,,,,,
Sales,15,hr,2017,17,hr,P,2019,4,female,white,BA
Art Handler,44200,yr,2018,46410,yr,P,2019,10,male,white,No degree
Relations,15.66,hr,2017,16,hr,H,2019,4,other,white,
Curator,28000,yr,2012,29500,yr,P,2019,2,female,white,MA
Conservator,40000,yr,2017,40000,yr,C,2019,2,,,MA
Coordinator,18.5,hr,2018,39500,yr,HP,2019,,,,BA
Curator,105000,yr,2017,113000,yr,P,2019,20,female,,MA
Manager,32000,yr,2015,33190,yr,P,2019,3,male,white,MA
Manager,42000,yr,2017,42000,yr,P,2019,3,male,latino,MA
Assistant Curator,42000,yr,2008,64000,yr,C,2019,25,female,white,MA
Visitor Experience,11,hr,2018,11.13,hr,HP,2019,5,female,poc,BA required MA preferred
Technical,50000,yr,,50000,yr,P,2019,8,,,
Communications,22000,yr,2011,26000,yr,P,2018,12,,white,
Director,100,yr,,,,,2019,,male,white,
Assistant,,,,43291.19,yr,P,2019,6,female,white,MA
Visitor Experience,33000,yr,2016,35000,yr,C,2019,8,female,white,BA
Manager,45000,yr,,45000,yr,P,2019,8,,,
Director,30000,yr,2017,30000,yr,C,2019,10,female,white,MA
Academic,10,hr,2014,12,hr,C,2019,10,female,white,MA
Designer,42000,yr,2018,49950,yr,P,,2,male,latino,
Assistant Curator,40000,yr,2017,43264,yr,P,2019,4,female,white,
Assistant,12.5,hr,,12.5,hr,H,2009,2,female,white,
Coordinator,31000,yr,2017,36000,yr,P,2019,12,female,white,MA
Gallery Assistant,32000,yr,2019,32000,yr,P,2019,2,female,white,MA
other,44500,yr,2018,45600,yr,HC,2019,20,male,white,None required MA preferred
Archivist,55000,yr,2013,64000,yr,P,2019,6,,white,MA required PhD preferred
Assistant Curator,71500,yr,2019,2019,yr,P,2019,6,,,MA required PhD preferred
Assistant Curator,67500,yr,2018,67500,yr,P,2019,15,female,white,MA
Librarian,,,,60000,yr,P,2019,,,,MLIS
Assistant,38000,yr,2016,38000,yr,HC,2017,4,female,white,MA
Registrar,25,hr,2017,25,hr,HC,2018,5,female,white,MA
Assistant Curator,43000,yr,,44000,yr,H,2019,2,female,white,MA
Technical,37962,yr,2014,56325,yr,P,2019,7,female,white,BA
Curator,18000,yr,,18000,yr,C,2019,30,,,PhD
Assistant,40000,yr,,50000,yr,P,2019,,female,latino,
Assistant Curator,65000,yr,2017,68000,yr,P,2019,10,female,white,MA required PhD preferred
Director,108000,yr,,111000,yr,P,2019,20,female,white,MA
Assistant Director,110000,yr,2018,110000,yr,P,2019,7,female,white,BA required MA preferred
Manager,70000,yr,2016,74000,yr,H,2019,10,female,white,BA required MA preferred
Education,18,hr,2011,21,hr,,2019,11,female,white,BA
Coordinator,30000,yr,2012,32000,yr,,2015,2,,,BA
Assistant Curator,41000,yr,2014,42000,yr,,2019,10,female,white,MA
Educator,12,hr,2006,23.15,hr,H,2019,12,female,white,BA
Librarian,37000,yr,2017,37800,yr,P,2019,,female,white,
Assistant Director,18,hr,2017,21.47,hr,H,2019,3,other,,
Assistant Director,18,hr,2017,21.47,hr,H,2019,3,other,,
Registrar,55000,yr,2018,59000,yr,C,2019,3,female,latino,MA
Coordinator,43000,yr,,50000,yr,HP,2019,,female,white,
Editor,30000,yr,2007,62000,yr,P,2019,12,female,white,MA required PhD preferred
Assistant,34000,yr,2018,35500,yr,P,2019,1,female,white,BA
Coordinator,42000,yr,2016,50000,yr,P,2019,4,female,white,BA
Gallery Assistant,35500,yr,2019,35500,yr,H,2019,,,,BA
Curator,85000,yr,2018,88400,yr,P,2019,15,male,white,MA
Registrar,40000,yr,2016,40000,yr,P,2019,8,,,BA required MA preferred
Writer,60000,yr,2018,60000,yr,P,2019,35,female,white,BA
Curator,58268,yr,2017,61666,yr,P,2019,5,female,white,MA
Designer,42500,yr,,45000,yr,P,2019,2,,,
Assistant,32000,yr,2017,32000,yr,H,,5,female,poc,BA
Assistant,40000,yr,2017,59500,yr,P,,,female,white,
Curator,50000,yr,,52000,yr,C,2019,10,female,poc,PhD
Curator,,,,109000,yr,P,2019,17,female,white,MA
Visitor Experience,15,yr,,15,hr,H,2019,1,,,BA
Visitor Experience,15,hr,2018,15,hr,H,2019,1,,,BA
Visitor Experience,29120,yr,2015,34008,yr,H Full Time,2019,13,female,white,BA
Conservator,38000,yr,2003,92000,yr,P,2019,18,female,asian,MA
Designer,45000,yr,2016,47988,yr,P,2019,3,female,,BA
Admin,33000,yr,2018,33825,yr,P,2019,3,,,
Coordinator,18,hr,,48000,yr,P,2019,2,female,poc,BA
Assistant Curator,20,hr,,20,hr,HC,2019,5,female,latino,MA
Editor,40000,yr,,43000,yr,P,2009,1,female,white,BA
Communications,55000,yr,2018,55000,yr,H,2019,4,female,asian,BA
Communications,50000,yr,2015,65000,yr,P,2017,8,female,,
Technical,46000,yr,2008,89000,yr,P,2019,11,male,,BA
Curator,54000,yr,2002,105000,yr,P,2019,25,male,white,PhD
Assistant,47600,yr,2018,49750,yr,H,2019,9,female,white,BA
Assistant,22.27,hr,2018,22.49,hr,H Full Time,2019,1,female,white,BA
Writer,40000,yr,,,,HP,,,female,white,
Technical,13000,yr,2014,36000,yr,P,2019,5,female,white,BA
Director,,,,78000,yr,P,,20,,,
Manager,43000,yr,,43000,yr,P,2019,,female,,
Curator,45000,yr,,49500,yr,H,2019,6,female,poc,BA required MA preferred
Assistant Curator,55000,yr,2017,,,,2019,,,,
Assistant Curator,45000,yr,2016,55000,yr,P,2019,7,female,,MA required PhD preferred
Assistant Director,55000,yr,2016,57500,yr,P,2018,5,,,
Manager,32500,yr,,38000,yr,P,2019,7,male,white,MA
Technical,52000,yr,2017,53300,yr,P,2019,2,female,,
Director,85000,yr,2016,92400,yr,P,2019,10,female,white,BA required MA preferred
Designer,41240,yr,2017,45240,yr,P,2019,5,female,poc,
Conservator,44000,yr,2014,48000,yr,H,2019,5,,,
Communications,40000,yr,2019,40000,yr,P,2019,3,female,white,BA
Registrar,20,hr,,20,hr,H,2019,3,male,white,
Sales,31990,yr,,32635,yr,HP,2019,,female,white,
Sales,42000,yr,2016,43000,yr,HP,20119,5,female,,BA
Assistant Curator,45000,yr,2016,48500,yr,P,2019,7,female,white,BA required MA preferred
Assistant Registrar,39000,yr,2016,40800,yr,HP,2019,13,female,white,MA
Sales,43000,yr,,52000,yr,P,2019,7,,,
Coordinator,31800,yr,2017,32800,yr,H,2019,10,female,latino,BA required MA preferred
Manager,50000,yr,2019,,,P,2019,4,female,,
Registrar,14,hr,,14.5,hr,C,2019,3,female,white,
Archivist,35000,yr,,38000,yr,P,2019,8,female,,MLIS
Designer,45000,yr,2008,60000,yr,P,2019,19,,white,BA
Manager,,,,73000,yr,P,2019,,,,
Assistant,15,hr,2015,18.72,hr,H,2019,4,female,white,BA
Manager,54000,yr,,59000,yr,,2019,,,,
Manager,54000,yr,,59000,yr,,2019,,,,
Technical,47000,yr,2018,48700,yr,P,2019,5,,white,
Archivist,31000,yr,2010,62000,yr,P,2019,10,male,white,MA
Conservator,58000,yr,2015,84450,yr,P,2019,14,female,white,
Manager,49000,yr,2018,53000,yr,P,2019,11,female,,MA
Manager,1000,yr,2015,114000,yr,P,2019,4,male,white,BA
Communications,50000,yr,2017,58000,yr,P,2019,5,female,white,MA
Coordinator,,,,25.27,hr,HP,2019,7,female,white,BA
Designer,51000,yr,2012,64000,yr,P,2018,9,female,white,MA
Assistant,44000,yr,2019,44000,yr,H,2019,3,,,BA required MA preferred
Assistant Curator,45000,yr,2012,65000,yr,P,2017,,female,white,
Archivist,0,yr,2016,0,yr,,2019,5,female,white,MA
other,40000,yr,2017,42000,yr,H,2019,10,female,white,None required BA preferred
Assistant Curator,,,,,,H,2019,6,female,poc,MA
Relations,,,,11000,yr,P,2019,10,female,white,BA
Research,47500,yr,2019,,yr,P,2019,,female,white,MA required PhD preferred
Assistant Curator,70000,yr,,90000,yr,,2019,18,,,
Curator,,,,88000,yr,P,2019,,female,white,
Librarian,,,,94000,yr,P,2019,20,,,MLIS
Sales,50000,yr,,60000,yr,P,2019,14,female,white,MA
Designer,35000,yr,2015,37000,yr,P,2019,7,female,white,BA
Assistant,47000,yr,2018,47000,yr,P,2019,0,female,white,BA
Research,20,hr,2015,65000,yr,P,2019,4,female,white,BA
Intern,11,hr,2018,11,hr,HC,2019,2,female,white,MA
Manager,,,,57600,yr,P,2019,5,male,white,BA
Assistant Director,48000,yr,2016,51000,yr,P,2019,10,female,white,BA
Visitor Experience,15,hr,2017,15.3,hr,H,2019,5,,,BA
Manager,15,hr,2017,15,hr,H,2019,3,female,white,BA
Coordinator,15,hr,2017,16.75,hr,H,2019,3,female,white,BA
Assistant,15,hr,2018,15.5,hr,H,2019,2,female,white,No degree
Manager,9,hr,2014,14,hr,HP,2019,6,female,white,BA
Manager,15,hr,2017,18,hr,HP,2019,15,female,white,MA
Assistant,20,hr,2015,23.8,hr,H,2019,5,,,BA
Manager,50000,yr,2018,50000,yr,P,2019,5,female,white,MA
Manager,39000,yr,2010,48000,yr,P,2019,11,female,asian,BA
Coordinator,20,hr,2018,20,hr,H,2019,10,female,white,BA required MA preferred
Consultancy,18,hr,2018,20,hr,H,2019,,female,white,BA required MA preferred
Director,20,hr,2010,27,hr,HP,2019,12,male,white,MA
Assistant Director,,,,45000,yr,P,2019,4,male,white,
Assistant Curator,55000,yr,2019,55000,yr,P,2019,,female,white,
Registrar,50000,yr,2003,60000,yr,,2006,10,female,,
Art Handler,20,hr,2014,23,hr,H,2019,6,female,,
Gallery Assistant,15,hr,,15,hr,H Full Time,2017,5,male,white,BA
Assistant Curator,16.5,hr,2019,16.5,hr,H,2019,5,female,white,MA
Librarian,60000,yr,2019,60000,yr,P,2019,6,male,asian,MA
Manager,13.22,hr,2018,13.22,hr,C,,1,female,latino,BA
Registrar,40000,yr,,47000,yr,H,2019,4,,,
Gallery Assistant,34000,yr,2019,34000,yr,P,2019,1,female,white,BA
Director,77500,yr,2016,82500,yr,P Full Time,2019,25,female,,
Manager,45000,yr,2018,50000,yr,P,2019,6,,,
Assistant Registrar,11,hr,2007,38700,yr,H,2019,19,male,mixed,BA
other,68000,yr,2012,115000,yr,P,2019,12,,,
other,,,,70000,yr,P,2019,8,female,white,MA
other,60000,yr,2015,120000,yr,P,,8,,,MA
other,46000,yr,2019,,,P,2019,,male,white,
Assistant Registrar,45000,yr,,52080,yr,P,2019,4,male,latino,None required MA preferred
Assistant Curator,37000,yr,2016,50000,yr,P,2019,7,female,white,MA
Assistant,24000,yr,,34000,yr,,2018,,female,white,
Director,50000,yr,2017,38000,yr,P,2019,8,male,,MA
Assistant Curator,28000,yr,2015,38000,yr,P,2019,4,female,,MA
Assistant Curator,35000,yr,2018,36250,yr,P,2019,5,,,
Assistant,20,hr,2016,,,HC,2016,4,female,white,BA
Designer,65000,yr,2018,65000,yr,,,3,female,latino,
Visitor Experience,10,hr,2017,11,hr,H,2019,,,,BA
Assistant,11,hr,2014,13.5,hr,H,2016,3,female,,BA
Assistant,11,hr,2014,13.5,hr,H,2016,3,female,,BA
Education,10,hr,,14,hr,H,2019,,female,white,
Educator,39000,yr,2017,44000,yr,H,2019,5,,,BA
Curator,95000,yr,2016,113900,yr,P,2019,10,female,white,MA required PhD preferred
other,9,hr,2016,10.23,hr,H,2019,6,,,BA
Manager,54000,yr,2019,54000,yr,P,2019,6,female,,BA
Relations,12,hr,2018,12,hr,H,2019,1,female,white,HS
Coordinator,15,hr,2015,17,hr,HP,2019,4,female,,
Registrar,43000,yr,2017,44700,yr,P,2019,5,female,white,BA required MA preferred
Assistant Curator,27000,yr,2011,37000,yr,HP,2015,4,female,white,BA required MA preferred
Visitor Experience,75000,yr,2007,108000,yr,,2019,23,female,white,MA
Director,70000,yr,2014,94000,yr,P,2019,14,female,white,
Communications,18,hr,2013,21,hr,H,2019,5,female,white,BA
Manager,34000,yr,2016,39000,yr,P,2019,6,female,,BA
Director,60000,yr,2012,68000,yr,P,2014,13,female,white,
Director,55000,yr,2018,60000,yr,P,2019,1,female,,
Manager,32000,yr,2015,49000,yr,P,2019,6,female,white,MA
Assistant Curator,55000,yr,2018,55000,yr,P,2019,5,,,
Assistant Curator,50000,yr,2012,65000,yr,P,2019,15,female,mixed,MA
Assistant Curator,38000,yr,2018,38000,yr,,,7,female,white,MA
Curator,28080,yr,2017,39000,yr,P Full Time,2019,6,female,white,BA required MA preferred
Assistant Manager,35000,yr,2012,44800,yr,P,2019,20,,white,BA
Librarian,45000,yr,2008,55000,yr,P,2019,15,female,,MA
Assistant Educator,15,hr,2017,17,hr,H,2019,6,female,,
Communications,35000,yr,2014,35000,yr,,2017,10,female,white,
Assistant Educator,41000,yr,2015,48000,yr,P,2019,4,female,white,BA required MA preferred
Assistant Curator,31500,yr,2018,39000,yr,P,2019,8,,,MA
Registrar,13.5,hr,2018,15,hr,H,2019,1,female,white,BA
Librarian,15.5,hr,2016,16.36,hr,HP,2019,5,female,white,BA required MA preferred
Manager,60000,yr,2019,60000,yr,P,2019,5,female,,BA required MA preferred
Assistant Registrar,38500,yr,2016,42500,yr,HP,2019,,female,white,
Conservator,72000,yr,,80000,yr,P,2019,10,female,white,MA
Curator,,,,60000,yr,P,2019,5,female,,MA
Communications,60000,yr,2018,60000,yr,P,2019,5,female,,
Curator,53000,yr,2018,53000,yr,P,2019,13,female,white,
Technical,14,hr,2016,20,hr,H,2019,7,male,white,No degree
Gallery Assistant,35000,yr,2018,,,P,2019,,female,white,
Registrar,30000,yr,,44500,yr,P,,,female,white,
Director,55000,yr,2016,60000,yr,P,2019,5,,,
Director,,,,55000,yr,P,2011,10,,,
Communications,88500,yr,2018,88500,yr,P,2019,6,female,white,BA
Director,68000,yr,2016,72000,yr,P,2019,13,female,white,MA
Manager,55000,yr,2016,58500,yr,P,2019,9,,white,BA
Assistant Curator,10,hr,2009,21.8,hr,,2011,2,female,,BA
Manager,45000,yr,2018,47000,yr,P,2019,5,female,,BA
Communications,62000,yr,2015,62000,yr,P,2016,5,,,
Education,24,hr,2018,24,hr,HP,2019,6,,,
Manager,32000,yr,,38000,yr,,2019,9,female,white,MA
Director,55000,yr,2016,80000,yr,P,2019,10,,white,MA
Director,65000,yr,,,,P,2019,11,female,,No degree
Coordinator,46800,yr,,50000,yr,P,,7,female,asian,
Technical,65000,yr,2015,69000,yr,P,2019,,,,
Director,52000,yr,,56000,yr,P,,,,,
Communications,58000,yr,2017,59500,yr,P,2019,5,female,white,MA
Assistant Curator,54000,yr,2018,55000,yr,P,2019,5,female,mixed,MA
Coordinator,37000,yr,2019,37000,yr,,2019,4,female,white,BA
Manager,43000,yr,2018,43000,yr,P,2019,6,female,white,BA required MA preferred
Manager,45000,yr,2017,59000,yr,P,2019,4,female,white,MA
Director,50000,yr,,70000,yr,P,2019,8,female,white,No degree
Registrar,29500,yr,2008,46500,yr,P,2019,13,female,white,BA
Assistant,28995,yr,2017,36250,yr,HP,2019,3,female,white,BA
Coordinator,28000,yr,2014,33000,yr,P,2018,4,female,white,BA
Manager,16,hr,2013,70000,yr,C,2019,7,female,white,MA
Assistant,11,hr,2017,11,hr,H,2018,0,female,white,BA
Visitor Experience,32600,yr,2014,40000,yr,P,2019,7,female,white,BA
Manager,35000,yr,2017,35800,yr,HP,2019,15,female,,MA
Assistant Curator,52000,yr,2018,54000,yr,P,2019,10,female,white,PhD
Assistant Curator,40000,yr,2016,41000,yr,H,2019,10,female,white,MA
Communications,20.43,hr,2017,21.04,hr,H,2019,5,female,white,BA
Education,14,hr,2017,,yr,H,2017,0,female,white,HS
Communications,15,hr,2016,15.5,hr,H,,4,female,,BA
Assistant Registrar,27000,yr,,33000,yr,P,2019,,female,,
Assistant Curator,28500,yr,,29300,yr,H Full Time,2019,4,female,white,BA required MA preferred
Director,,,,76000,yr,P,2019,28,female,white,
Manager,60000,yr,,65000,yr,P,2019,18,female,white,MA
Technical,65000,yr,2019,65000,yr,P,2019,7,female,asian,BA
Assistant Curator,61000,yr,2018,62000,yr,H,2019,4,female,poc,BA
Assistant Curator,18550,yr,2018,21700,yr,H,2019,6,,asian,BA
Conservator,150000,yr,2018,154000,yr,P,2019,33,female,white,
Manager,50000,yr,2018,50000,yr,P,2019,7,,white,BA
Technical,25000,yr,2006,45000,yr,P,2019,15,male,white,BA
Coordinator,50700,yr,2018,50700,yr,HP,2019,3,female,poc,BA
Director,65000,yr,2018,65000,yr,P,2019,7,,,MA
Director,55000,yr,,75000,yr,P,2019,10,,,
Assistant,40000,yr,2018,,,P,2019,3,,,BA
Admin,36000,yr,2017,38000,yr,,2019,,,,BA
Assistant,36000,yr,2019,36000,yr,HP,2019,3,female,,BA
Assistant Curator,47500,yr,2016,49000,yr,P,2019,6,female,white,MA
Assistant Curator,35000,yr,2015,40000,yr,P,2019,11,female,white,MA
Manager,,,2016,27000,yr,,2019,10,female,,MA
Coordinator,30000,yr,2016,32000,yr,P,2019,5,female,white,BA required MA preferred
other,46000,yr,2014,56000,yr,P,2019,4,,latino,MLIS
Manager,31000,yr,,32600,yr,H Full Time,2019,,,,
Manager,42000,yr,2019,42000,yr,P,,8,female,white,BA
Assistant Director,82500,yr,,82500,yr,C,2019,10,,white,BA required MA preferred
Writer,35000,yr,2017,37500,yr,P,2019,12,female,,
Manager,,,,55000,yr,,2019,10,,,MA
Conservator,39500,yr,2017,40250,yr,C,2019,3,female,white,MA
Technical,48000,yr,2016,50000,yr,P,2019,15,female,mixed,BA
Coordinator,24000,yr,2016,28250,yr,H,2019,6,,,BA
Visitor Experience,16,hr,2018,18.5,hr,H,2019,3,female,white,BA
Curator,36000,yr,2011,46000,yr,,2019,24,female,white,
Gallery Assistant,38000,yr,2018,38000,yr,P,2019,1,female,,BA
Assistant Director,45000,yr,2018,47000,yr,P,2019,6,female,mixed,BA required MA preferred
Director,56000,yr,2018,60000,yr,P,2019,8,male,white,MA
Coordinator,35000,yr,2016,39000,yr,P,2019,8,female,white,MA
Communications,38500,yr,2019,38500,yr,P,2019,5,female,,
Communications,38500,yr,2019,38500,yr,P,2019,5,female,,
Communications,52000,yr,2014,56000,yr,P,,5,female,white,
Assistant,41000,yr,2019,41000,yr,HP,2019,2,,,BA
Art Handler,31000,yr,2009,38000,yr,H,2019,17,female,white,BA
Curator,90000,yr,2017,90000,yr,,2019,12,female,white,MA
Coordinator,43000,yr,,43000,yr,P,2019,,male,white,
Manager,,,,41000,yr,P,2019,6,female,poc,BA required MA preferred
Technical,15,hr,2016,22,hr,H Part Time,2018,3,female,,BA
Manager,38000,yr,,38000,yr,P,,,female,white,
Curator,43000,yr,2017,51000,yr,P,2019,12,female,,MA
Assistant Registrar,27300,yr,,34983,yr,HP,2019,,female,white,
Technical,50000,yr,,55000,yr,C,2019,20,female,white,MLIS
Director,70000,yr,2019,70000,yr,P,2019,6,female,white,MA
Conservator,31220,yr,2015,37370,yr,P,2019,8,,,
Coordinator,12,hr,2016,15,hr,H,2019,4,female,white,BA
Manager,42000,yr,2018,42000,yr,P,2019,8,female,white,BA required MA preferred
Assistant Curator,36730,yr,,37440,yr,H,2019,11,female,white,
Director,55000,yr,2014,68000,yr,P,2019,20,female,mixed,MA
Assistant,34500,yr,2016,45000,yr,P,2019,3,female,white,BA
Assistant Curator,46000,yr,,46500,yr,H,2019,,female,,
Assistant Curator,17500,yr,2018,32000,yr,H,2019,,female,,MA
Assistant Curator,55000,yr,,65000,yr,,2019,,female,white,
Writer,48000,yr,2019,48000,yr,P,2019,10,male,white,BA
Assistant Director,8400,yr,2014,40000,yr,P,2017,4,female,white,BA
Manager,46000,yr,2016,48000,yr,H Full Time,2019,7,female,white,BA required MA preferred
Communications,12.5,hr,,30030,yr,H Full Time,2019,3,female,white,BA
Archivist,65000,yr,,65000,yr,C,2019,,female,white,MLIS
Archivist,55000,yr,2014,65000,yr,C,2018,,female,white,MLIS
Archivist,53000,yr,,63000,yr,P,2019,12,female,,MA
Assistant Curator,50000,yr,,50000,yr,C,2019,5,female,white,MA
Assistant Curator,50000,yr,,50000,yr,C,2019,5,female,white,MA
Assistant Curator,60000,yr,2018,,,P,,,female,,PhD
Visitor Experience,8.75,hr,2014,11,hr,H,2018,4,,white,BA
Assistant Curator,47500,yr,2017,50000,yr,P,2019,,female,white,
Assistant Curator,,,,45000,yr,H,2019,18,,white,
Assistant Curator,30000,yr,2018,30000,yr,P,2019,5,female,latino,MA
Assistant Curator,32000,yr,,34999,yr,H Full Time,2019,3,,,
Director,32000,yr,2011,50000,yr,P,2019,12,,,MA
Coordinator,32000,yr,2017,35000,yr,P,2019,5,female,white,
Curator,57000,yr,2011,84000,yr,HP,,,,,
Manager,16,hr,2018,16.48,hr,H Full Time,2019,6,female,white,BA
Manager,32000,yr,,33000,yr,P,2019,,male,white,BA
Director,50000,yr,,51500,yr,P,2019,17,female,white,MA
Assistant Curator,28000,yr,2017,30000,yr,HC,2019,4,female,white,MA
Academic,50000,yr,2019,50000,yr,C,2021,,female,,
Curator,30000,yr,2017,30000,yr,C,2020,,female,,
Curator,75000,yr,,92000,yr,P,2019,,female,,
Curator,72000,yr,,72000,yr,,2019,,female,,
Coordinator,30000,yr,,35000,yr,P,2015,,female,,
Curator,31000,yr,,34000,yr,P,2019,,female,white,
Communications,55000,yr,,73000,yr,P,2019,,,,
Assistant Registrar,53500,yr,,,,P,2019,3,female,white,BA required MA preferred
Curator,62000,yr,,62000,yr,P,2019,,female,white,
Assistant Curator,29000,yr,2017,29700,yr,C,2019,7,,white,MA
Manager,35000,yr,,37000,yr,P,2019,5,female,white,BA
Manager,40000,yr,,42000,yr,P,2019,15,female,white,
Manager,47000,yr,2017,62000,yr,P,2019,5,,,
Assistant Registrar,41000,yr,2015,44000,yr,P,2019,9,female,,
Technical,46000,yr,,46000,yr,P,,,female,,
Assistant Curator,53000,yr,2017,54600,yr,P,2019,11,female,,PhD
Visitor Experience,33000,yr,2017,36000,yr,H Full Time,2019,3,female,white,BA required MA preferred
Manager,60000,yr,2017,65000,yr,P,2019,4,female,,MLIS
Curator,38000,yr,,45000,yr,P Full Time,2019,,female,,
Director,60000,yr,2015,72000,yr,P,2019,7,female,white,MA
Director,42000,yr,,45000,yr,P,2019,10,,,MA
Manager,43500,yr,,63800,yr,P Full Time,2019,,male,white,
Assistant Curator,38000,yr,2018,38000,yr,P,2019,1,female,white,BA required MA preferred
Librarian,31500,yr,2013,34000,yr,HP,2019,15,female,,BA required MA preferred
Director,70000,yr,2017,79000,yr,P,2019,13,female,white,MA
Assistant,29.12,hr,2014,35.36,hr,HP,2019,11,female,white,MA
Registrar,48000,yr,2019,48000,yr,P,2019,8,female,,MA
Manager,45000,yr,2017,47000,yr,P,2019,4,female,white,BA
Designer,50000,yr,,51000,yr,,2019,,female,,
Manager,49000,yr,,49000,yr,P,2019,,male,white,
Editorial,42000,yr,,40000,yr,P,2019,,female,white,
other,40000,yr,,40000,yr,P,2019,,,,
Curator,33000,yr,,33000,yr,HP,2018,,female,white,
Assistant Curator,31500,yr,,31500,yr,C,2019,,male,white,
Assistant,30000,yr,,30000,yr,H,2018,,male,white,
Assistant Registrar,35000,yr,2016,37300,yr,P,2019,4,female,,MA
Education,18.75,hr,2013,50000,yr,P,2019,8,female,asian,
Designer,40000,yr,2017,47500,yr,P,2019,7,female,,BA
Director,28000,yr,2000,69000,yr,P,2019,19,,,MLIS
Director,27500,yr,2002,65000,yr,P,2019,15,female,,
Visitor Experience,24960,yr,2018,26000,yr,H,2019,6,other,,BA
Assistant,40000,yr,2017,41000,yr,P,2019,2,female,white,BA
Assistant Curator,30000,yr,2017,35000,yr,HP,2019,1,female,white,BA
Director,31000,yr,2014,58500,yr,P,2019,7,female,white,BA
Assistant Educator,32000,yr,2014,46350,yr,P,2019,11,female,mixed,BA
Assistant Educator,32000,yr,2014,46350,yr,P,2019,11,female,mixed,BA
Communications,19.8,hr,2017,20.5,hr,H,2019,4,female,white,BA
Curator,35000,yr,2009,48000,yr,P,2019,15,female,,BA required MA preferred
Director,42000,yr,,50000,yr,P,2019,7,male,white,BA
Director,68500,yr,2016,75000,yr,P,2019,24,female,white,MA
Registrar,35000,yr,,45000,yr,P,2009,15,female,white,MA
Curator,38000,yr,2017,41600,yr,P,2019,8,female,white,MA
Manager,62000,yr,2017,66340,yr,P,2019,7,,,BA required MA preferred
Curator,70000,yr,2017,72100,yr,P,2019,10,female,white,MA required PhD preferred
Admin,35000,yr,2016,42000,yr,P,2019,,female,white,
Photographer,37000,yr,2015,37000,yr,P,2017,5,female,,BA required MA preferred
Assistant Curator,45000,yr,2018,45000,yr,,2019,4,female,white,BA
Coordinator,45000,yr,2017,47000,yr,H,2019,6,female,white,BA
Coordinator,28000,yr,2003,49000,yr,P,2019,20,female,white,MA
Manager,28000,yr,2012,34500,yr,P,2019,7,female,white,None required MA preferred
Manager,36000,yr,2018,36000,yr,P,2019,8,,,
Director,47000,yr,2016,48000,yr,P,2018,10,,,
Communications,13,hr,2019,15,hr,H,2019,10,male,,BA
Curator,,,,62500,yr,P,2019,15,female,white,MA
Assistant Registrar,44000,yr,2017,44500,yr,P,2018,8,female,poc,MA
Registrar,40000,yr,,40500,yr,HP,2019,20,,,
Archivist,35360,yr,2014,59000,yr,P,2019,5,male,white,MA
Coordinator,35000,yr,2017,35000,yr,HP,2019,7,female,white,MA
Assistant Curator,37900,yr,2017,39000,yr,P,2018,15,female,white,BA required MA preferred
Relations,37500,yr,2018,38500,yr,H,2019,3,female,white,BA
Director,43000,yr,2016,52000,yr,P,2019,13,female,white,MA
Assistant Curator,13000,yr,2015,13000,yr,,2019,5,female,white,MA
Curator,43000,yr,2017,44290,yr,P,2019,8,male,white,BA required MA preferred
Registrar,54000,yr,2019,54000,yr,HP,2019,8,female,white,BA required MA preferred
Curator,32800,yr,2015,36650,yr,P,2019,6,female,white,MA
Manager,62000,yr,2018,62000,yr,P,2019,12,female,white,BA
Technical,23000,yr,2010,29000,yr,P,2016,8,male,,BA
Assistant Curator,55000,yr,2018,55000,yr,P,2019,4,female,white,MA required PhD preferred
Curator,75000,yr,2018,80000,yr,P,2019,10,female,white,MA
Manager,35000,yr,2014,47990,yr,P,2019,8,female,white,MA
Registrar,40000,yr,2015,48000,yr,P,2019,10,female,white,
Curator,36000,yr,2016,41000,yr,P,2019,5,female,white,MA required PhD preferred
Coordinator,31000,yr,2017,31000,yr,P,2019,3,female,white,MA
