role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Coordinator,24500,yr,2018,26250,yr,P Full Time,2019,1,female,white,BA
Librarian,40000,yr,1998,80000,yr,P,2019,30,female,white,MA
Assistant,31000,yr,2019,31000,yr,P,2019,7,female,white,HS
Director,45000,yr,2011,90000,yr,P,2019,18,female,white,BA
Assistant Curator,35000,yr,2018,35000,yr,C,2019,8,female,white,BA
Assistant,40000,yr,2017,40000,yr,,2018,2,female,white,
Technical,32000,yr,2016,37500,yr,P,2019,3,female,white,BA
Communications,36000,yr,2018,37000,yr,P,2019,2,female,white,BA
Education,28000,yr,2004,42750,yr,P,2019,17,female,white,BA
Manager,35000,yr,2016,40126,yr,P,2019,2,female,white,BA
Art Handler,22000,yr,2017,22880,yr,H,2019,4,male,white,BA
Coordinator,24900,yr,2017,33300,yr,H,2019,2,female,white,BA
Assistant Curator,52500,yr,2018,54075,yr,,2019,5,female,white,MA
Curator,10,hr,2018,,,C,2018,5,female,white,MA
other,67000,yr,,,yr,C,2019,15,female,white,MA
Communications,55000,yr,2014,62000,yr,,2019,8,female,white,BA
Assistant Registrar,40000,yr,2018,40000,yr,P,2019,5,female,latino,MA
Assistant Educator,24600,yr,2018,16,hr,P,2019,1,female,white,BA
Assistant Registrar,30000,yr,2018,,,,2019,4,,,BA
Manager,45000,yr,2014,49000,yr,P,2019,8,female,white,MA
Manager,32000,yr,2017,38000,yr,P,2019,5,female,mixed,BA required MA preferred
Assistant Director,44000,yr,2012,46000,yr,P,2016,8,female,poc,BA
Librarian,11424,yr,2016,11592,yr,H,2019,5,female,white,
Librarian,15,hr,,15.45,hr,,2019,5,female,white,BA required MA preferred
Assistant,35000,yr,2017,40000,yr,P,2019,5,female,white,BA
Assistant Registrar,43000,yr,2011,54000,yr,P,2019,15,female,,
Editorial,18,hr,2018,18,hr,HC,2019,3,female,white,MA
Manager,60000,yr,2016,61500,yr,P Full Time,2018,10,female,white,MA
Director,19000,yr,2012,32000,yr,P,2019,7,female,white,BA required MA preferred
Communications,44900,yr,2017,49900,yr,,2019,20,female,white,
Assistant Curator,50000,yr,2016,62500,yr,P,2019,14,male,white,MA
Assistant Curator,14.85,hr,2011,20.7,hr,HP,2016,5,female,white,BA required MA preferred
Curator,,,,98000,yr,P,2019,39,female,white,PhD
Visitor Experience,18,hr,2017,19,hr,H,2018,2,male,white,None required MA preferred
