role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary 1,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Assistant Curator,40000.0,yr,2001.0,65500.0,yr,P,2019.0,34.0,female,white,MA required PhD preferred
Intern,0.0,yr,2014.0,0.0,yr,H,2014.0,1.0,female,white,N
Relations,31000.0,yr,2002.0,45100.0,yr,P,2012.0,17.0,female,white,BA
Art Handler,23.0,hr,2019.0,23.0,hr,H,2019.0,1.0,male,white,MA
Assistant,43000.0,yr,2019.0,43000.0,yr,H,n/a,0.0,male,latino,BA
Manager,34000.0,yr,2013.0,90000.0,yr,P,2019.0,,female,N,N
Director,48000.0,yr,2018.0,48000.0,yr,P,2019.0,,female,white,N
Manager,42000.0,yr,N,42000.0,yr,P,2017.0,,female,latino,N
Assistant,40000.0,yr,2015.0,40000.0,yr,P,2017,,female,latino,N
Manager,30000.0,yr,2018.0,30000.0,yr,P,2019.0,,female,white,N
Assistant Curator,65000.0,yr,N,80000.0,yr,P,2019.0,,female,white,N
Assistant Director,63000.0,yr,N,63000.0,yr,P,2019.0,,female,white,N
Manager,45000.0,yr,N,51700.0,yr,P,2018.0,,female,white,N
Assistant Curator,36000.0,yr,N,40000.0,yr,H,2017.0,,n/a,N,N
Assistant Curator,35000.0,yr,N,40000.0,yr,H,2019.0,,n/a,N,N
Art Handler,37000.0,yr,N,37000.0,yr,"H,P",2019.0,,male,white,N
Coordinator,33681.0,yr,N,36100.0,yr,P,2014.0,,female,white,N
Assistant,34580.0,yr,N,34580.0,yr,C,2016.0,,female,white,N
Assistant,31000.0,yr,2014.0,34000.0,yr,"H,P",2017.0,,female,N,N
Assistant,33670.0,yr,N,33670.0,yr,C,2019.0,,female,white,N
Coordinator,29000.0,yr,N,29000.0,yr,P,2013.0,,female,N,N
Librarian,22750.0,yr,2015.0,27000.0,yr,"H,P",2019.0,7.0,female,white,N
other,,,N,18.0,hr,H,2019.0,3.0,female,N,N
Designer,34500.0,yr,2010.0,50870.0,yr,P,2019.0,9.0,female,N,BA
Registrar,14.0,hr,2019.0,14.0,hr,"H,C",2019.0,1.0,other,white,N
Coordinator,17.6,hr,2015.0,18.18,hr,H,2019.0,4.0,female,white,BA
Assistant Director,47000.0,yr,2015.0,48000.0,yr,P,2019.0,8.0,n/a,N,N
Librarian,9.0,hr,1990.0,20.0,hr,"H,P",2019.0,29.0,female,white,No degree
other,,,2019.0,N,yr,P,2019.0,20.0,n/a,N,N
Conservator,47500.0,yr,2017.0,48687.0,yr,C,2019.0,5.0,n/a,N,MA
Assistant Curator,40000.0,yr,N,60000.0,yr,P,2019.0,10.0,n/a,N,MA
Assistant Director,51000.0,yr,2018.0,51000.0,yr,P,2019.0,,female,white,N
Assistant,40000.0,yr,2018.0,40000.0,yr,C,,7.0,female,N,MA
Assistant,40000.0,yr,2018.0,40000.0,yr,P,2019.0,,female,white,MA
Technical,36000.0,yr,2018.0,36000.0,yr,P,2019.0,6.0,male,latino,BA
Technical,17.54,hr,2018.0,17.54,hr,H,2019.0,2.0,other,white,BA
Librarian,,,1979.0,,N,P,1983.0,4.0,female,N,BA
Coordinator,20.0,hr,2014.0,22.0,hr,H,2019.0,6.0,n/a,N,BA
Communications,16.0,hr,2018.0,16.0,hr,H Full Time,2019.0,,n/a,N,N
Manager,42700.0,yr,N,42700.0,yr,P,2019.0,,female,N,N
Technical,,,N,,N,n/a,,,n/a,N,N
Assistant,,,N,,N,H,,5.0,female,latino,N
Editor,35000.0,yr,2018.0,35000.0,yr,P,2019.0,3.0,female,white,BA
Art Handler,36000.0,yr,N,42000.0,yr,H,2019.0,4,male,white,No degree
Manager,42000.0,yr,2017.0,48000.0,yr,"H,P",2019.0,4.0,female,white,No degree
Editorial,70000.0,yr,N,,N,P,,9.0,female,white,N
Communications,35.0,hr,2015.0,35.0,hr,H,2016.0,,n/a,N,N
Editorial,38000.0,yr,2014.0,44000.0,yr,P,2018.0,4.0,female,N,None required MA preferred
Writer,6.0,hr,2013.0,6.0,hr,Freelance,2019.0,10.0,female,white,MA
other,10000.0,yr,2007.0,1000000.0,yr,P,2019.0,10.0,other,white,No degree
Assistant,28.0,hr,2018.0,28.0,hr,H,2019.0,3.0,female,N,N
Assistant,18.0,hr,2006.0,50.0,hr,"H,P",2019.0,12.0,female,mixed,No degree
Manager,45000.0,yr,2016.0,60000.0,yr,P,2019.0,5.0,female,white,N
Archivist,65000.0,yr,2017.0,65000.0,yr,P,2018.0,5.0,female,white,MLIS
Manager,50000.0,yr,2018.0,50000.0,yr,P,2019.0,10.0,female,white,MA
Assistant,20.0,hr,2017.0,20.0,hr,H,2017.0,8.0,female,white,N
Assistant,16.33,hr,2016.0,16.33,hr,H,2017.0,1,n/a,N,BA
Artist,,,N,0.0,yr,P,,15.0,female,white,N
Assistant,20.0,hr,2014.0,18.0,hr,H,2019.0,14.0,female,white,MA
Assistant,20.0,hr,N,35.0,hr,"H,P",2019.0,,female,asian,N
Archivist,30.0,hr,N,35.0,hr,H,2018.0,,n/a,N,N
Admin,60000.0,yr,N,63600.0,yr,P,2019.0,,female,mixed,N
Editor,5000.0,yr,N,5000.0,yr,C Part Time,2010.0,,n/a,N,N
Manager,12.0,hr,N,30.0,hr,H,2018.0,7.0,female,white,N
other,40000.0,yr,2019.0,40000.0,yr,H,2019.0,2.0,female,latino,MA
Manager,28000.0,yr,2016.0,30000.0,yr,H,2019.0,5.0,male,white/latino,BA
Manager,36000.0,yr,2018.0,40000.0,yr,H,,4.0,female,N,N
Director,38000.0,yr,N,42500.0,yr,P,2019.0,10.0,male,white/latino,BA
Visitor Experience,48000.0,yr,2016.0,58000.0,yr,P,2019.0,4.0,female,white,BA
other,,,N,39520.0,yr,"H,P",2019.0,,n/a,N,No degree
Assistant Curator,10.0,hr,2012.0,10.0,hr,"H,C",,,n/a,N,N
Assistant,34500.0,yr,2014.0,36000.0,yr,H,2014.0,1.0,n/a,N,BA
other,57000.0,yr,2015.0,63000.0,yr,P,2017.0,10.0,n/a,N,N
Art Handler,15.0,hr,2017.0,20.0,hr,H,2019.0,10.0,female,latino,BA
Coordinator,32000.0,yr,N,32000.0,yr,P,2019.0,,n/a,N,N
Art Handler,15.0,hr,2017.0,19 per hour,yr,H,2019.0,3.0,n/a,N,BA
Relations,12.0,hr,N,12.0,hr,H,2019.0,1.0,female,white,MA
Research,50000.0,yr,2019.0,60000.0,yr,P,2019.0,2.0,female,white,N
Assistant,18000.0,yr,N,,N,C,2019.0,5.0,male,N,BA required MA preferred
Assistant Curator,18.0,hr,2019.0,18.0,hr,"H,C Full Time",2019.0,7.0,female,white,BA
Assistant Curator,40000.0,yr,N,,N,n/a,,,n/a,N,BA
Conservator,33000.0,yr,2012.0,37000.0,yr,P,2019.0,7.0,male,white,N
Relations,45000.0,yr,2016.0,,N,P,2017.0,3.0,female,white,N
Technical,45000.0,yr,2011.0,46500.0,yr,P,2017.0,15.0,n/a,N,N
Assistant Curator,,,N,44000.0,yr,C,2017.0,20.0,female,white,MA
Security,11.68,yr,2007.0,14.33,hr,"H,P",2019.0,14.0,n/a,N,N
Assistant,10.0,hr,2017.0,10.0,hr,H,2017.0,,female,white,N
Coordinator,42640.0,yr,2019.0,42640.0,yr,H,2019.0,3.0,female,poc,BA required MA preferred
Visitor Experience,10.0,hr,2017.0,10.0,hr,n/a,2019.0,2.0,male,white,BA
Coordinator,45000.0,yr,2018.0,45000.0,yr,P,2019.0,3.0,female,white,BA required MA preferred
Manager,47000.0,yr,2017.0,48500.0,yr,P,2019.0,8.0,female,white,BA required MA preferred
other,71000.0,yr,2019.0,,N,P,2019.0,2.0,female,N,MLIS
Manager,27.7,hr,2019.0,28.8,hr,"H,P",2019.0,5.0,female,white,BA
Sales,65000.0,yr,2018.0,65000.0,yr,P,2019.0,6.0,n/a,N,BA
Manager,15.0,hr,2016.0,15.0,hr,H,2019.0,4.0,n/a,N,MA
Director,52500.0,yr,2017.0,61050.0,yr,P,2019.0,3.0,male,white,MA
Visitor Experience,25000.0,yr,2015.0,32960.0,yr,P,2019.0,20.0,male,white,BA
Coordinator,15.3,hr,2015.0,15.3,hr,H,2018.0,3,n/a,N,N
Assistant,18.25,hr,2017.0,18.25,hr,H,2019.0,,n/a,N,N
Education,35000.0,yr,2017.0,35700.0,yr,P,2019.0,3.0,female,white,PhD
Curator,28000.0,yr,2018.0,28000.0,yr,P,2019.0,1.0,female,white,No degree
Editor,35000.0,yr,2010.0,41500.0,yr,P,2013.0,3.0,female,white,BA
Editorial,39885.0,yr,2016.0,40000.0,yr,H,2019.0,4.0,n/a,N,N
Manager,50000.0,yr,2018.0,50000.0,yr,P,2019.0,4.0,female,white,MA
Designer,41100.0,yr,2016.0,51600.0,yr,P,2019.0,,male,white,BA
Curator,,,N,82737.0,yr,n/a,2019.0,22.0,n/a,N,PhD
Conservator,,,N,72000.0,yr,P,2019.0,20.0,female,white,MA
Photographer,28500.0,yr,1999.0,49500.0,yr,C,2019.0,36.0,male,white,N
Photographer,28500.0,yr,1999.0,49500.0,yr,C,2019.0,36.0,male,white,N
Curator,83500.0,yr,N,83500.0,yr,P,2019.0,,female,N,N
Curator,65000.0,yr,N,83000.0,yr,n/a,2018.0,,female,N,N
Curator,46000.0,yr,N,52000.0,yr,H,2019.0,10.0,female,white,N
Assistant Curator,49000.0,yr,N,50000.0,yr,C,2019.0,,female,white,N
Coordinator,37000.0,yr,N,39100.0,yr,P,2019.0,5.0,female,white,BA required MA preferred
Manager,38000.0,yr,N,41000.0,yr,P,2013.0,12.0,female,white,BA
Education,18.15,hr,2019.0,,N,H,,,n/a,N,N
Assistant Curator,44000.0,yr,2016.0,47614.0,yr,n/a,2019.0,3.0,female,white,BA
Curator,29000.0,yr,2014.0,50000.0,yr,n/a,2017.0,10.0,female,white,MA
Teacher,13.0,hr,2018.0,13.0,hr,H,2019.0,2.0,female,latino,BA
Visitor Experience,10.0,hr,N,,N,H,,1,female,white,HS
Visitor Experience,10.0,hr,2019.0,10.0,hr,H,2019.0,4.0,female,white,BA
Assistant Curator,33000.0,yr,N,50000.0,yr,P,2019.0,,female,N,N
Assistant,48000.0,yr,N,50000.0,yr,P,2018.0,,female,latino,N
Assistant,15.0,hr,2014.0,15.0,hr,H,2015.0,2.0,female,N,BA
Education,20000.0,yr,2019.0,20000.0,yr,H,2019.0,7.0,female,white,MA
Manager,42000.0,yr,2017.0,42000.0,yr,n/a,2019.0,4.0,female,white,MA
Education,,,N,50.0,hr,H,2019.0,,male,latino,N
Art Handler,25.0,hr,N,25.0,hr,n/a,,,n/a,N,N
Art Handler,16.94,hr,N,20.33,hr,"H,P",2019.0,5.0,female,poc,HS
Assistant Curator,17.0,hr,2001.0,18.0,hr,H,2011.0,,female,white,MA
Manager,50000.0,yr,2017.0,52000.0,yr,P,2019.0,,female,white,N
Coordinator,48000.0,yr,2015.0,52000.0,yr,n/a,2018.0,,female,white,N
Assistant Curator,47800.0,yr,N,52000.0,yr,"H,P",2019.0,,female,white,N
Assistant Curator,,,2008.0,52000.0,yr,P,2019.0,,n/a,N,N
Assistant Curator,45000.0,yr,2017.0,50000.0,yr,P,2019.0,,female,poc,N
Coordinator,44153.0,yr,N,46054.0,yr,"H,P",2019.0,6.0,female,white,MA
Assistant Curator,33000.0,yr,2012.0,45000.0,yr,P,2019.0,,female,white,N
Assistant Curator,44000.0,yr,N,44000.0,yr,P,2017.0,,female,N,N
Assistant Curator,42000.0,yr,2015.0,44000.0,yr,P,2018.0,,male,N,N
Assistant Manager,36000.0,yr,2017.0,40000.0,yr,P,2019.0,,female,white,N
Assistant,35000.0,yr,N,40000.0,yr,P,2019.0,,female,N,N
Assistant Curator,36000.0,yr,2014.0,38000.0,yr,P,2019.0,,female,white,N
Assistant,33000.0,yr,2010.0,33000.0,yr,P,2012.0,,female,white,N
Intern,0.0,yr,N,0.0,yr,n/a,,,n/a,N,N
Assistant Curator,40000.0,yr,2019.0,40000.0,yr,P,2019.0,,male,N,N
other,22000.0,yr,2018.0,22000.0,yr,C,2019.0,2.0,male,white,BA
Designer,40000.0,yr,2019.0,40000.0,yr,n/a,2019.0,2.0,female,poc,N
Designer,50000.0,yr,2018.0,50000.0,yr,P,2019.0,4.0,female,poc,N
Assistant Curator,42000.0,yr,2011.0,45000.0,yr,P,2016.0,6.0,female,white,MA
Assistant,30780.0,yr,2013.0,35000.0,yr,P,2018.0,7.0,female,white,BA required MA preferred
Manager,34000.0,yr,2015.0,47247.0,yr,H Full Time,2019.0,4.0,male,white/latino,N
Manager,51000.0,yr,2018.0,51000.0,yr,n/a,2019.0,2.0,female,N,BA required MA preferred
Assistant Curator,35000.0,yr,2017.0,43000.0,yr,P,2019.0,4.0,female,white,BA
Archivist,24.0,hr,2016.0,51.5,hr,"H,P",2019.0,10.0,female,white,MA
Archivist,43000.0,yr,2015.0,43000.0,yr,P,2018.0,10.0,female,white,MA
Archivist,47000.0,yr,2018.0,47000.0,yr,P,2018.0,10.0,female,N,MA
Archivist,18.0,hr,2015.0,18.0,hr,H,2015.0,7.0,female,N,MLIS
Assistant Curator,33671.0,yr,N,40000.0,yr,n/a,2019.0,6.0,n/a,N,BA required MA preferred
Coordinator,10.0,hr,2015.0,30.0,hr,n/a,2019.0,1.0,n/a,N,N
Manager,58000.0,yr,2017.0,61200.0,yr,P,2019.0,15.0,female,mixed,MA
Designer,53000.0,yr,2019.0,,N,P,2019.0,4.0,female,white,N
Intern,0.0,yr,2013.0,0.0,yr,n/a,2013.0,2.0,female,white,BA
Curator,32000.0,yr,2015.0,55000.0,yr,n/a,2019.0,5.0,n/a,N,MA
Assistant Registrar,17.79,hr,N,18.63,hr,"H,P",2019.0,2.0,female,white,BA required MA preferred
Coordinator,11.8,hr,2018.0,,N,"H,C",2018.0,2.0,male,white,N
Manager,50000.0,yr,2019.0,,N,H Full Time,,10.0,male,asian,BA required MA preferred
Coordinator,34000.0,yr,2016.0,40200.0,yr,H,2019.0,8.0,female,white,BA
Assistant,,,N,N,yr,H,,5.0,other,latino,No degree
Curator,45000.0,yr,2013.0,60000.0,yr,P,2019.0,11.0,male,white,BA
Director,105000.0,yr,2018.0,105000.0,yr,P,2019.0,16.0,female,white,N
Manager,25.0,hr,2015.0,33.38,hr,H,2019.0,6.0,male,white,MA
Coordinator,40560.0,yr,2018.0,40560.0,yr,H,2019.0,4.0,male,white,MA
Director,60000.0,yr,2016.0,30000.0,yr,H,2019.0,15.0,female,white,MA
Assistant Curator,14.54,hr,N,,N,H,2019.0,2.0,female,white,BA
Manager,29000.0,yr,2013.0,29000.0,yr,n/a,2019.0,5.0,female,white,BA
Curator,40000.0,yr,N,42000.0,yr,P Full Time,2014.0,5.0,female,white,BA
Curator,65000.0,yr,2017.0,68000.0,yr,C,2018.0,13.0,female,white,PhD
Gallery Assistant,8.0,hr,N,8.0,hr,"H,P",2015.0,,female,N,N
Education,15.0,hr,N,15.0,hr,"H,P",2015.0,,female,N,N
Assistant Curator,27500.0,yr,N,,N,P,2017.0,,n/a,N,N
Assistant Curator,42500.0,yr,2015.0,47000.0,yr,C,,,n/a,N,N
Curator,70000.0,yr,N,73000.0,yr,P,2019.0,,female,N,N
Assistant Curator,29500.0,yr,2017.0,30000.0,yr,H,2017.0,,n/a,N,MA
Assistant Curator,28500.0,yr,2015.0,15.71,hr,"H,P",2019.0,,female,white,MA
Assistant,,,N,30500.0,yr,n/a,2019.0,2.0,male,white,MA
Visitor Experience,10.0,hr,2017.0,10.0,hr,"H,P",2017.0,2.0,female,white,BA
Assistant,17000.0,hr,2010.0,2011.0,yr,H,2011.0,2.0,female,white,N
Assistant Director,40000.0,yr,2017.0,42000.0,yr,P,2019.0,4.0,male,white,MA
Archivist,56000.0,yr,2018.0,56000.0,yr,P,2019.0,6.0,female,white,MA
Assistant,20.25,hr,2018.0,22.5,hr,H,2019.0,1.0,male,white,MA
Librarian,48000.0,yr,2010.0,64000.0,yr,P,2019.0,10.0,female,white,MLIS
Registrar,34000.0,yr,2017.0,34000.0,yr,P,2019.0,10.0,n/a,white,BA
other,15.0,hr,2018.0,18.0,hr,"H,P",2019.0,4.0,female,white,BA
Communications,90000.0,yr,2018.0,90000.0,yr,P,2018.0,15.0,female,poc,MA
Registrar,38000.0,yr,2014.0,38000.0,yr,n/a,2016.0,3.0,female,white,MA
Manager,62500.0,yr,2018.0,62500.0,yr,P,2019.0,4.0,male,white,BA
other,40000.0,yr,2017.0,45000.0,yr,P,,4.0,male,white,BA
Librarian,52000.0,yr,2015.0,59580.0,yr,P,2019.0,9.0,female,white,MA
Communications,45000.0,yr,N,45000.0,yr,P,2019.0,,female,N,N
Director,75000.0,yr,2018.0,78000.0,yr,P,2019.0,10.0,female,white,MA
Technical,31000.0,yr,N,44000.0,yr,P,2019.0,,female,N,N
Manager,,,N,37000.0,yr,"H,P",2019.0,,female,white,N
Coordinator,39000.0,yr,2019.0,39000.0,yr,P,2019.0,3.0,female,white,BA
Coordinator,34000.0,yr,N,,N,P,2019.0,,female,N,N
Manager,55000.0,yr,N,57000.0,yr,P,2019.0,10.0,female,white,N
Director,,,N,85000.0,yr,P,2016.0,15.0,n/a,N,MA
Coordinator,34000.0,yr,2018.0,,N,P,2019.0,5.0,female,white,BA
Director,50000.0,yr,2010.0,53000.0,yr,P,2012.0,12.0,female,white,MA
Director,35000.0,yr,N,65000.0,yr,P,2019.0,,female,white,N
Technical,31000.0,yr,2014.0,44000.0,yr,P,2019.0,10.0,female,white,BA required MA preferred
Director,52000.0,yr,2015.0,,N,P,2015.0,5.0,female,N,N
Technical,13 hr,yr,2012.0,13.0,hr,H,2014.0,3.0,female,white,HS
Education,7.25,hr,2012.0,,N,H,2013.0,4.0,female,white,BA
Intern,9.0,hr,2016.0,9.0,hr,"H,C",2016.0,,female,white,BA
Research,19.0,hr,N,N,yr,H,2019.0,,female,N,N
other,32000.0,yr,2017.0,40000.0,yr,P,2019.0,8.0,n/a,N,BA required MA preferred
Coordinator,19.0,hr,2019.0,19.0,hr,"H,C Full Time",2019.0,1.0,male,white,BA
Communications,37000.0,yr,2017.0,37000.0,yr,P,2019,2.0,male,white,N
Manager,81000.0,yr,2018.0,84000.0,yr,P,2019.0,19.0,female,white,BA required MA preferred
Education,35000.0,yr,N,38000.0,yr,P,2017.0,,female,N,N
Security,,,N,10.0,hr,"H,P",2019.0,5.0,male,white,No degree
Assistant,22.0,hr,2014.0,,N,"H,C",2014.0,1.0,n/a,N,MA
Assistant Educator,42900.0,yr,2008.0,51000.0,yr,P,2019.0,11.0,female,N,MA
Coordinator,50000.0,yr,2014.0,54000.0,yr,P,2019.0,5.0,female,white,BA
Manager,59000.0,yr,2008.0,73400.0,yr,P,2019.0,25.0,female,white,MA
Assistant Curator,41000.0,yr,N,43000.0,yr,P,2019.0,,female,N,N
Academic,,,2018.0,39148.0,yr,C,2019.0,10.0,male,white,MA
Archivist,48000.0,yr,2015.0,51118.0,yr,P,2019.0,7,female,white,MA
Education,11.7,hr,2018.0,11.7,hr,H,2019.0,2,n/a,N,N
Director,38000.0,yr,2011.0,55610.87,yr,H,2019.0,17.0,female,white,MA
Intern,14.62,hr,2016.0,16.14,hr,"H,P",2019.0,5.0,female,white,BA required MA preferred
Manager,48500.0,yr,2019.0,2019.0,yr,n/a,2019.0,6.0,female,white,N
Coordinator,58000.0,yr,2017.0,,N,P,2018.0,20.0,n/a,N,MA
Academic,15000.0,yr,2018.0,N,yr,n/a,2019.0,11.0,female,N,MA
Intern,0.0,yr,2014.0,0.0,yr,C,2014.0,,female,white,MA
Assistant Registrar,30000.0,yr,2013.0,35000.0,yr,P,2016.0,4.0,female,white,BA required MA preferred
Assistant Curator,53000.0,yr,2009.0,53000.0,yr,P,2009.0,15.0,female,N,MA
Registrar,28800.0,yr,2016.0,35520.0,yr,P,2019.0,,male,N,N
Manager,60000.0,yr,2017.0,64000.0,yr,P,2019.0,10.0,female,poc,BA
Educator,20.0,hr,2015.0,20.0,hr,H Part Time,2016,8.0,female,white,BA required MA preferred
Assistant,23660.0,yr,2018.0,24133.0,yr,H,2019.0,2.0,female,N,MA
Conservator,39000.0,yr,2018.0,39000.0,yr,P,2019.0,4.0,n/a,N,MA
Director,35000.0,yr,1998.0,43000.0,yr,P,2014.0,22.0,n/a,N,MA
Assistant,20.5,hr,2018.0,23.69,hr,H,2019.0,3.0,female,white,BA
Assistant Curator,52000.0,yr,2015.0,53330.0,yr,P,2017.0,7.0,female,N,MA
other,50.0,hr,2009.0,50.0,hr,C,2019.0,n/a,female,N,MA required PhD preferred
Intern,2500.0,yr,N,,N,C,,,female,asian,N
Manager,60000.0,yr,N,76000.0,yr,P,2019.0,8.0,female,white,N
Editorial,56000.0,yr,N,56000.0,yr,C,2019.0,,female,N,N
Assistant Curator,47374.0,yr,N,49998.0,yr,P,2019.0,,female,N,N
other,45000.0,yr,N,47000.0,yr,C,2016.0,,male,N,N
Assistant Curator,37000.0,yr,2010.0,42000.0,yr,C,2012.0,,n/a,N,N
Assistant,,,N,40795.0,yr,P Part Time,,,n/a,N,N
Assistant Educator,38 000,yr,N,39000.0,yr,P,2019.0,,n/a,N,N
Technical,33000.0,yr,2007.0,37000.0,yr,C,2010.0,,female,white,N
Editorial,25000.0,yr,2018.0,25000.0,yr,"H,C",2019.0,,female,white,N
Editorial,38000.0,yr,2018.0,38000.0,yr,C,2019.0,,n/a,N,N
other,15.0,hr,N,15.0,hr,C,2016.0,,n/a,N,N
Assistant Curator,20.0,hr,2016.0,21.15,hr,"H,P",2019.0,3.0,female,N,MA
Education,32000.0,yr,N,44000.0,yr,P,2019.0,,n/a,N,N
other,33000.0,yr,2018.0,33000.0,yr,C,2019.0,10.0,n/a,white,MA
Assistant Curator,35000.0,yr,N,35000.0,yr,P,2009.0,,n/a,N,N
Director,0.0,yr,2015.0,7200.0,yr,n/a,2019.0,10.0,n/a,N,N
Manager,50000.0,yr,N,50000.0,yr,P,2018.0,2.0,n/a,N,N
Assistant,35000.0,yr,N,35000.0,yr,P,2013.0,,n/a,N,N
Visitor Experience,15.0,hr,2018.0,10.0,hr,H,2019.0,1.0,n/a,N,MA
Education,15.0,hr,2015.0,17.54,hr,H,2019.0,8.0,female,white,BA required MA preferred
Curator,85000.0,yr,N,91000.0,yr,P,2015.0,,male,white,N
Assistant Curator,55000.0,yr,N,57750.0,yr,P,2013.0,3.0,male,white,N
Education,15.0,hr,N,,N,"H,P",2019.0,,female,N,N
Assistant Curator,48000.0,yr,N,49000.0,yr,P,2019.0,5.0,n/a,N,N
Manager,54000.0,yr,2013.0,,N,P,2017.0,14.0,n/a,N,N
Education,15.0,hr,2017.0,16.0,hr,"H,P",2019.0,2.0,female,asian,BA
Educator,36000.0,yr,2015.0,36000.0,yr,H,2016.0,3.0,female,white,BA required MA preferred
Coordinator,19.5,hr,2017.0,,N,H,2017.0,2.0,male,white,BA required MA preferred
Teacher,55.0,hr,N,,N,H,,,n/a,N,N
Academic,71.0,hr,2017.0,71.0,hr,C,2019.0,5.0,male,white,MA
Curator,32000.0,yr,2015.0,36000.0,yr,P,2017.0,3,n/a,N,MA
Assistant Curator,18928.0,yr,2010.0,37560.0,yr,C,2019.0,10.0,male,white,BA
Coordinator,37000.0,yr,2017.0,37000.0,yr,P,2017.0,7.0,female,white,BA
Coordinator,40000.0,yr,2018.0,40000.0,yr,P,,,female,latino,BA
Assistant Director,50000.0,yr,2018.0,50000.0,yr,P,2019.0,4.0,female,white,BA
Registrar,50000.0,yr,2017.0,60000.0,yr,P,2019.0,9.0,female,N,BA
Manager,,,N,80000.0,yr,P,2019.0,10.0,female,white,N
Assistant,21.5,hr,N,21.5,hr,H,2019.0,,n/a,N,N
Intern,11.0,hr,N,11.0,hr,H,2018.0,,n/a,N,N
Gallery Assistant,19.0,hr,N,,N,H,2019.0,,n/a,N,N
Assistant,32000.0,yr,2017.0,42000.0,yr,H,2019.0,3.0,female,white,N
Assistant Registrar,,,N,20000.0,yr,C,2004.0,10.0,male,white,N
Curator,38000.0,yr,2012.0,59000.0,yr,P,2019.0,13.0,male,white,BA required MA preferred
Manager,50000.0,yr,2017.0,51500.0,yr,P,2019.0,7.0,female,white,BA
Assistant Curator,34000.0,yr,N,39750.0,yr,H,2019.0,,female,N,N
Assistant Curator,37000.0,yr,N,38100.0,yr,H,2019.0,,female,white,N
Coordinator,34000.0,yr,N,34000.0,yr,n/a,2019.0,2.0,female,white,BA
Coordinator,38000.0,yr,2015.0,39500.0,yr,P,2018.0,4.0,female,white,BA required MA preferred
Assistant Curator,33500.0,yr,2015.0,36000.0,yr,H,2018.0,2.0,female,N,N
Intern,13.0,hr,2019.0,13.0,hr,H,2019.0,1,female,poc,MA
Coordinator,30721.0,yr,N,34320.0,yr,H,2019.0,10.0,female,white,HS
Manager,35000.0,yr,2017.0,39000.0,yr,P,2019.0,3.0,male,white,BA
Communications,35000.0,yr,2013.0,42000.0,yr,P,2017.0,4.0,male,white,BA
Sales,10.3,hr,2015.0,11.15,hr,"H,P",2019.0,n/a,other,white,N
Visitor Experience,11856.0,yr,2018.0,12480.0,yr,H,2019.0,2.0,male,white,HS
Visitor Experience,12.0,hr,2017.0,,N,H,2018.0,3.0,female,white,BA
other,18000.0,yr,2017.0,18000.0,yr,H,2019.0,5.0,female,white,MA
Educator,10000.0,yr,2017.0,10000.0,yr,H,,2.0,male,white,BA
Coordinator,40000.0,yr,2018.0,40000.0,yr,H,2019.0,4.0,n/a,N,BA
Coordinator,39999.0,yr,2016.0,41000.0,yr,P,2019.0,5.0,female,white,MA
Curator,96970.0,yr,2018.0,102477.0,yr,P,2019.0,27.0,female,white,MA
Curator,40000.0,yr,2018.0,40000.0,yr,C,2019.0,0.0,n/a,N,BA
Visitor Experience,11.0,hr,2018.0,12.2,hr,H,2019.0,,female,white,HS
Manager,43000.0,yr,2018.0,43000.0,yr,P,2019.0,4.0,female,white,MA
Technical,14.0,hr,2016.0,21.0,hr,H,2019.0,3.0,n/a,N,BA
Assistant Curator,38700.0,yr,2019.0,38700.0,yr,P,2019.0,2.0,female,white,MA
Education,75.0,hr,2015.0,75.0,hr,H,2019.0,9.0,female,white,MA
Coordinator,41000.0,yr,2014.0,43000.0,yr,P,2018.0,16.0,female,white,MA
Communications,15.0,hr,2018.0,15.0,hr,H,2019.0,,female,N,BA
Director,60000.0,yr,2014.0,70000.0,yr,C,2018.0,,female,white,N
Communications,35000.0,yr,2014.0,51000.0,yr,C,2019.0,,female,white,N
Manager,15.25,hr,2018.0,15.25,hr,H,2019.0,1.0,female,white,HS
Visitor Experience,11.5,hr,2018.0,12.5,hr,H,2019.0,8.0,female,white,No degree
Conservator,20.0,hr,2010.0,20.0,hr,H,2019.0,19.0,female,white,N
Assistant Manager,44000.0,yr,2014.0,52000.0,yr,P,2018.0,8.0,female,mixed,MA
Coordinator,45000.0,yr,2016.0,48000.0,yr,"H,P",2019.0,8.0,n/a,white/latino,None required BA preferred
Communications,50000.0,yr,N,50000.0,yr,P,2016.0,1.0,male,asian,BA
Curator,30000.0,yr,N,30000.0,yr,P,2017.0,2.0,male,asian,BA
Admin,32256.0,yr,2016.0,34560.0,yr,H,2019.0,4.0,female,N,N
Manager,102000.0,yr,2017.0,115000.0,yr,P,2019.0,5.0,male,white,No degree
Curator,90000.0,yr,2014.0,100000.0,yr,P,2019.0,15.0,n/a,N,N
Coordinator,60.0,hr,2018.0,60.0,hr,C,2019.0,10.0,female,white,N
Coordinator,36400.0,yr,2016.0,37870.0,yr,H,2019.0,3.0,n/a,N,BA
other,40000.0,yr,2010.0,50000.0,yr,C,2019.0,14.0,n/a,N,BA
Coordinator,40000.0,yr,2016.0,41000.0,yr,n/a,2019.0,,n/a,N,N
